,Treat,Growth inhibition index ,Group
1,Myo.inositol_0.1,0.15076312,Myo.inositol
2,Myo.inositol_0.1,0.200711819,Myo.inositol
3,Myo.inositol_0.1,0.106665439,Myo.inositol
4,Myo.inositol_0.1,0.094388543,Myo.inositol
5,Myo.inositol_0.1,0.388579634,Myo.inositol
6,Myo.inositol_0.1,0.374925293,Myo.inositol
13,Myo.inositol_5,0.328561425,Myo.inositol
14,Myo.inositol_5,0.044102641,Myo.inositol
15,Myo.inositol_5,0.183823697,Myo.inositol
16,Myo.inositol_5,0.17403158,Myo.inositol
17,Myo.inositol_5,0.344396469,Myo.inositol
18,Myo.inositol_5,0.395471062,Myo.inositol
19,Uracil_0.01,0,Uracil
20,Uracil_0.01,0,Uracil
21,Uracil_0.01,0,Uracil
22,Uracil_0.01,0,Uracil
23,Uracil_0.01,0.040174678,Uracil
24,Uracil_0.01,0.118166594,Uracil
31,Uracil_1,0.123982458,Uracil
32,Uracil_1,0,Uracil
33,Uracil_1,0.119434185,Uracil
34,Uracil_1,0.110118499,Uracil
35,Uracil_1,0,Uracil
36,Uracil_1,0.06712007,Uracil
37,A_PDA,0.394796106,PDA
38,A_PDA,0.378403575,PDA
39,A_PDA,0.446797522,PDA
40,A_PDA,0.394739214,PDA
41,A_PDA,0.3179817,PDA
42,A_PDA,0.256717519,PDA
49,Sucrose_20,0.043372339,Sucrose
50,Sucrose_20,0.059358052,Sucrose
51,Sucrose_20,0,Sucrose
52,Sucrose_20,0,Sucrose
53,Sucrose_20,0,Sucrose
54,Sucrose_20,0.016575226,Sucrose
55,Sucrose_40,0,Sucrose
56,Sucrose_40,0.148179452,Sucrose
57,Sucrose_40,0,Sucrose
58,Sucrose_40,0,Sucrose
59,Sucrose_40,0,Sucrose
60,Sucrose_40,0,Sucrose
73,Ethanolamine_0.1,0.517392405,Ethanolamine
74,Ethanolamine_0.1,0.595489603,Ethanolamine
75,Ethanolamine_0.1,0.492536998,Ethanolamine
76,Ethanolamine_0.1,0.568978754,Ethanolamine
77,Ethanolamine_0.1,0.524071566,Ethanolamine
78,Ethanolamine_0.1,0.510570829,Ethanolamine
85,Ethanolamine_10,0.610698311,Ethanolamine
86,Ethanolamine_10,0.651797988,Ethanolamine
87,Ethanolamine_10,0.550163163,Ethanolamine
88,Ethanolamine_10,0.341189779,Ethanolamine
89,Ethanolamine_10,0.588413374,Ethanolamine
90,Ethanolamine_10,0.570883664,Ethanolamine
91,¦Á.ketoglutaric.acid_1,0.114395502,¦Á.ketoglutaric.acid
92,¦Á.ketoglutaric.acid_1,0.189937312,¦Á.ketoglutaric.acid
93,¦Á.ketoglutaric.acid_1,0.128513073,¦Á.ketoglutaric.acid
94,¦Á.ketoglutaric.acid_1,0.08842758,¦Á.ketoglutaric.acid
95,¦Á.ketoglutaric.acid_1,0.083846098,¦Á.ketoglutaric.acid
96,¦Á.ketoglutaric.acid_1,0.130505359,¦Á.ketoglutaric.acid
103,Mannitol_20,0,Mannitol
104,Mannitol_20,0,Mannitol
105,Mannitol_20,0,Mannitol
106,Mannitol_20,0.066448813,Mannitol
107,Mannitol_20,0.191882176,Mannitol
108,Mannitol_20,0,Mannitol
109,Mannitol_50,0.143634743,Mannitol
110,Mannitol_50,0.132354014,Mannitol
111,Mannitol_50,0.021316888,Mannitol
112,Mannitol_50,0.016231217,Mannitol
113,Mannitol_50,0,Mannitol
114,Mannitol_50,0.027363715,Mannitol
115,Tryptophan_0.05,0.19547005,Tryptophan
116,Tryptophan_0.05,0.010807194,Tryptophan
117,Tryptophan_0.05,0,Tryptophan
118,Tryptophan_0.05,0,Tryptophan
119,Tryptophan_0.05,0.018607543,Tryptophan
120,Tryptophan_0.05,0.017003673,Tryptophan
127,Tryptophan_1,0.117616155,Tryptophan
128,Tryptophan_1,0.081480485,Tryptophan
129,Tryptophan_1,0,Tryptophan
130,Tryptophan_1,0,Tryptophan
131,Tryptophan_1,0.01305827,Tryptophan
132,Tryptophan_1,0,Tryptophan
