Medium,Concentration(ug/ml),Length_Treat,Length_DMSO,Index,Index(%)
Rice,10,3.2,3.42,0.064327485,6.4327485
Rice,10,3.3,3.42,0.035087719,3.5087719
Rice,10,3.2,3.42,0.064327485,6.4327485
Rice,10,3.1,3.42,0.093567251,9.3567251
Rice,10,3,3.42,0.122807018,12.2807018
Rice,20,2.95,3.34,0.116766467,11.6766467
Rice,20,3.2,3.34,0.041916168,4.1916168
Rice,20,3.1,3.34,0.071856287,7.1856287
Rice,30,3.2,3.28,0.024390244,2.4390244
Rice,30,3,3.28,0.085365854,8.5365854
Rice,30,3,3.28,0.085365854,8.5365854
Rice,40,3,3.32,0.096385542,9.6385542
Rice,40,3,3.32,0.096385542,9.6385542
Rice,40,3.3,3.32,0.006024096,0.6024096
Rice,40,3,3.32,0.096385542,9.6385542
Rice,40,2.8,3.32,0.156626506,15.6626506
Rice,50,2.7,3.43,0.212827988,21.2827988
Rice,50,2.85,3.43,0.16909621,16.909621
Rice,50,2.8,3.43,0.183673469,18.3673469
Rice,50,2.75,3.43,0.198250729,19.8250729
Rice,50,2.75,3.43,0.198250729,19.8250729
TSB,10,3.3,3.42,0.035087719,3.5087719
TSB,10,3.2,3.42,0.064327485,6.4327485
TSB,10,3.4,3.42,0.005847953,0.5847953
TSB,10,3.1,3.42,0.093567251,9.3567251
TSB,10,3.3,3.42,0.035087719,3.5087719
TSB,20,2.8,3.34,0.161676647,16.1676647
TSB,20,3.2,3.34,0.041916168,4.1916168
TSB,20,2.7,3.34,0.191616766,19.1616766
TSB,20,3.3,3.34,0.011976048,1.1976048
TSB,20,3,3.34,0.101796407,10.1796407
TSB,30,2.8,3.28,0.146341463,14.6341463
TSB,30,2.7,3.28,0.176829268,17.6829268
TSB,30,2.8,3.28,0.146341463,14.6341463
TSB,30,2.7,3.28,0.176829268,17.6829268
TSB,30,2.8,3.28,0.146341463,14.6341463
TSB,40,2.9,3.32,0.126506024,12.6506024
TSB,40,2.7,3.32,0.186746988,18.6746988
TSB,40,2.7,3.32,0.186746988,18.6746988
TSB,40,2.6,3.32,0.21686747,21.686747
TSB,40,2.8,3.32,0.156626506,15.6626506
TSB,50,2.6,3.43,0.241982507,24.1982507
TSB,50,2.4,3.43,0.300291545,30.0291545
TSB,50,2.2,3.43,0.358600583,35.8600583
TSB,50,2.7,3.43,0.212827988,21.2827988
TSB,50,2.4,3.43,0.300291545,30.0291545
Rice&TSB,10,3.2,3.42,0.064327485,6.4327485
Rice&TSB,10,3,3.42,0.122807018,12.2807018
Rice&TSB,10,3.2,3.42,0.064327485,6.4327485
Rice&TSB,10,3,3.42,0.122807018,12.2807018
Rice&TSB,10,3.2,3.42,0.064327485,6.4327485
Rice&TSB,20,2.6,3.34,0.221556886,22.1556886
Rice&TSB,20,2.7,3.34,0.191616766,19.1616766
Rice&TSB,20,2.7,3.34,0.191616766,19.1616766
Rice&TSB,20,2.7,3.34,0.191616766,19.1616766
Rice&TSB,20,2.6,3.34,0.221556886,22.1556886
Rice&TSB,30,2.3,3.28,0.298780488,29.8780488
Rice&TSB,30,2.1,3.28,0.359756098,35.9756098
Rice&TSB,30,2.2,3.28,0.329268293,32.9268293
Rice&TSB,30,2.2,3.28,0.329268293,32.9268293
Rice&TSB,30,2.3,3.28,0.298780488,29.8780488
Rice&TSB,40,2.1,3.32,0.36746988,36.746988
Rice&TSB,40,1.6,3.32,0.518072289,51.8072289
Rice&TSB,40,2.3,3.32,0.307228916,30.7228916
Rice&TSB,40,1.9,3.32,0.427710843,42.7710843
Rice&TSB,40,2.1,3.32,0.36746988,36.746988
Rice&TSB,50,1.9,3.43,0.44606414,44.606414
Rice&TSB,50,2.2,3.43,0.358600583,35.8600583
Rice&TSB,50,2.1,3.43,0.387755102,38.7755102
Rice&TSB,50,2.2,3.43,0.358600583,35.8600583
Rice&TSB,50,2.2,3.43,0.358600583,35.8600583
