,Order,Level,Length,Add
1,1,1,0.171717,DMSO
2,1,1,0.20202,DMSO
3,1,1,0.252525,DMSO
4,1,1,0.151515,DMSO
5,1,1,0.191919,DMSO
6,2,1,0.20202,DMSO
7,2,1,0.212121,DMSO
8,2,1,0.464646,DMSO
9,2,1,0.282828,DMSO
10,2,1,0.424242,DMSO
11,3,1,0.161616,DMSO
12,3,1,0.212121,DMSO
13,3,1,0.191919,DMSO
14,3,1,0.232323,DMSO
15,4,1,0.181818,DMSO
16,4,1,0.141414,DMSO
17,4,1,0.181818,DMSO
18,4,1,0.242424,DMSO
19,4,1,0.292929,DMSO
30,1,3,0.158583,200ng/6ul
31,1,3,0.171799,200ng/6ul
32,1,3,0.118937,200ng/6ul
33,1,3,0.105722,200ng/6ul
34,1,3,0.132153,200ng/6ul
35,2,3,0.132153,200ng/6ul
36,2,3,0.105722,200ng/6ul
37,2,3,0.145368,200ng/6ul
38,2,3,0.105722,200ng/6ul
39,2,3,0.118937,200ng/6ul
40,3,3,0.158583,200ng/6ul
41,3,3,0.092507,200ng/6ul
42,3,3,0.145368,200ng/6ul
43,3,3,0.118937,200ng/6ul
44,3,3,0.132153,200ng/6ul
45,4,3,0.105722,200ng/6ul
46,4,3,0.145368,200ng/6ul
47,4,3,0.145368,200ng/6ul
48,4,3,0.158583,200ng/6ul
49,5,3,0.158583,200ng/6ul
50,5,3,0.185014,200ng/6ul
51,5,3,0.118937,200ng/6ul
52,5,3,0.145368,200ng/6ul
53,5,3,0.145368,200ng/6ul
