CorTreatment,Percent available soil moisture depletion,Week
RT430_09_Preflowering_5,4,9
RT430_09_Preflowering_13,4,9
RT430_09_Preflowering_18,4,9
BT642_09_Preflowering_14,4,9
BT642_09_Preflowering_6,4,9
BT642_09_Preflowering_17,4,9
RT430_04_Control_12,5,4
RT430_04_Control_20,5,4
RT430_04_Control_1,5,4
BT642_04_Control_11,5,4
BT642_04_Control_19,5,4
BT642_04_Control_2,5,4
RT430_05_Control_1,14,5
RT430_05_Control_20,14,5
RT430_05_Control_12,14,5
BT642_05_Control_11,14,5
BT642_05_Control_2,14,5
BT642_05_Control_19,14,5
RT430_10_Control_20,14,10
RT430_10_Control_12,14,10
RT430_10_Control_1,14,10
BT642_10_Control_19,14,10
BT642_10_Control_11,14,10
BT642_10_Control_2,14,10
RT430_06_Control_12,15,6
RT430_06_Control_20,15,6
RT430_06_Control_1,15,6
BT642_06_Control_11,15,6
BT642_06_Control_19,15,6
BT642_06_Control_2,15,6
RT430_08_Control_12,15,8
RT430_08_Control_20,15,8
RT430_08_Control_1,15,8
BT642_08_Control_19,15,8
BT642_08_Control_11,15,8
BT642_08_Control_2,15,8
RT430_09_Postflowering_3,16,9
RT430_09_Postflowering_22,16,9
RT430_09_Postflowering_16,16,9
BT642_09_Postflowering_4,16,9
BT642_09_Postflowering_21,16,9
BT642_09_Postflowering_15,16,9
RT430_11_Control_20,19,11
RT430_11_Control_12,19,11
RT430_11_Control_1,19,11
BT642_11_Control_19,19,11
BT642_11_Control_11,19,11
BT642_11_Control_2,19,11
RT430_14_Control_12,19,14
BT642_14_Control_11,19,14
RT430_16_Preflowering_5,19,16
BT642_16_Preflowering_6,19,16
RT430_07_Control_12,20,7
BT642_07_Control_11,20,7
RT430_10_Preflowering_13,21,10
RT430_10_Preflowering_5,21,10
RT430_10_Preflowering_18,21,10
BT642_10_Preflowering_14,21,10
BT642_10_Preflowering_6,21,10
BT642_10_Preflowering_17,21,10
RT430_14_Preflowering_5,21,14
BT642_14_Preflowering_6,21,14
RT430_12_Control_20,29,12
RT430_12_Control_12,29,12
BT642_12_Control_11,29,12
BT642_12_Control_2,29,12
BT642_12_Control_19,29,12
RT430_11_Preflowering_13,31,11
RT430_11_Preflowering_5,31,11
RT430_11_Preflowering_18,31,11
BT642_11_Preflowering_14,31,11
BT642_11_Preflowering_6,31,11
BT642_11_Preflowering_17,31,11
RT430_15_Control_12,32,15
RT430_15_Control_20,32,15
RT430_15_Control_1,32,15
BT642_15_Control_19,32,15
BT642_15_Control_11,32,15
RT430_13_Preflowering_13,34,13
RT430_13_Preflowering_5,34,13
RT430_13_Preflowering_18,34,13
BT642_13_Preflowering_14,34,13
BT642_13_Preflowering_17,34,13
BT642_13_Preflowering_6,34,13
RT430_16_Control_12,36,16
RT430_12_Preflowering_18,37,12
RT430_12_Preflowering_13,37,12
RT430_12_Preflowering_5,37,12
BT642_12_Preflowering_6,37,12
BT642_12_Preflowering_14,37,12
BT642_12_Preflowering_17,37,12
RT430_09_Control_20,39,9
RT430_09_Control_12,39,9
RT430_09_Control_1,39,9
BT642_09_Control_19,39,9
BT642_09_Control_2,39,9
BT642_09_Control_11,39,9
RT430_15_Preflowering_5,39,15
RT430_15_Preflowering_13,39,15
BT642_15_Preflowering_14,39,15
BT642_15_Preflowering_17,39,15
RT430_13_Control_20,45,13
RT430_13_Control_1,45,13
RT430_13_Control_12,45,13
BT642_13_Control_19,45,13
BT642_13_Control_2,45,13
BT642_13_Control_11,45,13
RT430_04_Preflowering_5,49,4
RT430_04_Preflowering_13,49,4
RT430_04_Preflowering_18,49,4
BT642_04_Preflowering_6,49,4
BT642_04_Preflowering_14,49,4
BT642_04_Preflowering_17,49,4
RT430_10_Postflowering_3,57,10
RT430_10_Postflowering_22,57,10
RT430_10_Postflowering_16,57,10
BT642_10_Postflowering_4,57,10
BT642_10_Postflowering_21,57,10
BT642_10_Postflowering_15,57,10
RT430_11_Postflowering_3,67,11
RT430_11_Postflowering_22,67,11
RT430_11_Postflowering_16,67,11
BT642_11_Postflowering_4,67,11
BT642_11_Postflowering_21,67,11
BT642_11_Postflowering_15,67,11
RT430_05_Preflowering_13,69,5
RT430_05_Preflowering_18,69,5
RT430_05_Preflowering_5,69,5
BT642_05_Preflowering_6,69,5
BT642_05_Preflowering_14,69,5
BT642_05_Preflowering_17,69,5
RT430_06_Preflowering_13,78,6
RT430_06_Preflowering_5,78,6
RT430_06_Preflowering_18,78,6
BT642_06_Preflowering_6,78,6
BT642_06_Preflowering_14,78,6
BT642_06_Preflowering_17,78,6
RT430_12_Postflowering_22,81,12
BT642_12_Postflowering_21,81,12
RT430_07_Preflowering_5,84,7
BT642_07_Preflowering_6,84,7
RT430_13_Postflowering_3,86,13
RT430_13_Postflowering_16,86,13
RT430_13_Postflowering_22,86,13
BT642_13_Postflowering_4,86,13
BT642_13_Postflowering_15,86,13
BT642_13_Postflowering_21,86,13
RT430_14_Postflowering_22,92,14
BT642_14_Postflowering_21,92,14
RT430_15_Postflowering_3,92,15
RT430_15_Postflowering_16,92,15
RT430_15_Postflowering_22,92,15
BT642_15_Postflowering_15,92,15
BT642_15_Postflowering_21,92,15
BT642_15_Postflowering_4,92,15
RT430_08_Preflowering_13,92,8
RT430_08_Preflowering_5,92,8
RT430_08_Preflowering_18,92,8
BT642_08_Preflowering_6,92,8
BT642_08_Preflowering_17,92,8
RT430_16_Postflowering_22,93,16
BT642_16_Postflowering_21,93,16
