,Growth inhibition index ,Strain
1,0.404090034,A3.3503
2,0.364978575,A3.3503
3,0.388461211,A3.3503
4,0.388807534,A3.3503
5,0.367212241,A3.3503
6,0.387250618,A3.3503
7,0.263735925,A3.2857
8,0.300356454,A3.2857
9,0.32995633,A3.2857
10,0.240296537,A3.2857
11,0.299392527,A3.2857
12,0.226009417,A3.2857
13,0.323331571,A3.2862
14,0.278799109,A3.2862
15,0.355381521,A3.2862
16,0.325564724,A3.2862
17,0.280029531,A3.2862
18,0.292919392,A3.2862
19,0.542782441,A3.2854
20,0.423705507,A3.2854
21,0.518007673,A3.2854
22,0.440320821,A3.2854
23,0.449981977,A3.2854
24,0.420979023,A3.2854
25,0.377351514,A3.15288
26,0.370799576,A3.15288
27,0.40342508,A3.15288
28,0.323950372,A3.15288
29,0.414495973,A3.15288
30,0.309726671,A3.15288
31,0.311285126,A3.1556
32,0.337112539,A3.1556
33,0.356386987,A3.1556
34,0.369246933,A3.1556
35,0.404919774,A3.1556
36,0.324706608,A3.1556
37,0.311462732,A3.1579
38,0.3301712,A3.1579
39,0.322879949,A3.1579
40,0.373187087,A3.1579
41,0.342617131,A3.1579
42,0.345280197,A3.1579
43,0.368820097,A3.2858
44,0.377272198,A3.2858
45,0.35589075,A3.2858
46,0.310439489,A3.2858
47,0.350665473,A3.2858
48,0.32456148,A3.2858
